Car.ID,Brand,Year,Engine.Size,Fuel.Type,Transmission,Mileage,Condition,Price,Model
118,Audi,2009,3.2,Petrol,Automatic,135533,Used,15347.986499999999,Q5
120,Audi,2013,2,Diesel,Automatic,103523,Used,24994.4415,Q5
121,Toyota,2008,2,Petrol,Automatic,97757,Used,6981.334500000001,Camry
122,Toyota,2002,1.5,Hybrid,Automatic,116925,Used,6138.5625,Prius
123,Tesla,2020,NA,Electric,Automatic,40560,Used,42413.406,Model S
124,Toyota,2007,1.8,Petrol,Manual,129537,Used,8099.86,Corolla
125,Toyota,2015,1.8,Petrol,Manual,99630,Used,13444.5,Corolla
128,Ford,2020,5,Petrol,Automatic,56671,Used,29966.727000000003,Mustang
129,Ford,2011,2.3,Petrol,Automatic,70849,Used,9628.289999999999,Explorer
130,Toyota,2004,1.8,Petrol,Automatic,168435,Used,7565.134500000001,Corolla
131,Ford,2001,5,Petrol,Manual,132656,Used,4632.8,Explorer
132,Ford,2015,2,Petrol,Automatic,106218,Used,12770.541000000001,Focus
133,Toyota,2004,2.4,Petrol,Automatic,128491,Used,5767.566000000001,RAV4
134,Ford,2014,2.3,Petrol,Manual,60009,Used,6001.25,Focus
136,Honda,2003,2,Petrol,Automatic,148230,Used,5932.9619999999995,Accord
138,Honda,2010,2.4,Petrol,Automatic,136531,Used,9489.858,Accord
139,Toyota,2015,1.8,Petrol,Manual,74370,Used,9655.45,Corolla
140,BMW,2022,3,Diesel,Manual,13903,Used,38903.3,3 Series
142,Toyota,2013,1.8,Hybrid,Automatic,101707,Used,15784.062000000002,Prius
143,BMW,2017,2.5,Petrol,Automatic,41504,Used,35049.545999999995,5 Series
144,Honda,2011,1.3,Petrol,Manual,52203,Used,7257.02,Fit
145,Toyota,2010,2,Petrol,Manual,96104,Used,6495.35,Camry
147,Tesla,2020,NA,Electric,Automatic,26383,Used,25811.950500000003,Model 3
148,Mercedes,2022,4,Petrol,Manual,19288,Used,60003,E-Class
149,Audi,2010,6,Diesel,Automatic,144117,Used,18241.146,Q7
150,Ford,2022,2.3,Petrol,Automatic,9261,Used,15850.579500000002,Focus
151,BMW,2015,1.5,Petrol,Manual,63803,Used,13450.8,3 Series
152,Mercedes,2014,2,Petrol,Automatic,67702,Used,22134.735,GLA
153,Ford,2020,5.2,Petrol,Automatic,73533,Used,34869.5235,Mustang
154,Ford,2014,4.6,Petrol,Manual,66226,Used,13245.23,Mustang
155,Toyota,2003,2.4,Petrol,Automatic,124689,Used,5133.219,Camry
156,Ford,2010,5.8,Petrol,Manual,131299,Used,11771.18,Mustang
157,Audi,2018,1.2,Petrol,Automatic,67399,Used,19831.3815,A3
159,Mercedes,2003,2.6,Petrol,Automatic,111296,Used,6287.778,C-Class
160,Ford,2020,1,Petrol,Automatic,34499,Used,9176.863500000001,Fiesta
161,Toyota,2012,2.5,Hybrid,Automatic,74435,Used,11198.533500000001,Camry
162,Audi,2021,1.4,Petrol,Automatic,11668,Used,36261.141,A4
163,Honda,2018,1.8,Petrol,Automatic,66157,Used,21162.183,Civic
166,Mercedes,2003,2.1,Diesel,Manual,162479,Used,11247.88,E-Class
168,Ford,2020,3.3,Hybrid,Automatic,34670,Used,17641.207500000004,Explorer
172,Honda,2002,2.2,Diesel,Manual,142523,Used,5329.4,CR-V
173,Honda,2007,2.2,Diesel,Manual,126848,Used,9684.8,CR-V
175,Audi,2009,1.4,Petrol,Manual,115636,Used,8563.57,A3
176,Ford,2003,2,Petrol,Automatic,159842,Used,3070.2735000000002,Fiesta
180,BMW,2012,4.4,Petrol,Automatic,105388,Used,32147.2095,X5
182,BMW,2010,3,Diesel,Manual,105490,Used,11471.87,5 Series
184,Audi,2011,3.6,Petrol,Automatic,66437,Used,20064.775500000003,Q7
187,Audi,2012,4.2,Petrol,Manual,62414,Used,12482.81,A4
190,Audi,2016,2,Diesel,Automatic,30067,Used,26177.739,Q5
191,BMW,2009,3,Diesel,Manual,81120,Used,7571.21,X3
192,Audi,2009,2,Diesel,Manual,77925,Used,9679.32,Q5
193,Tesla,2023,NA,Electric,Automatic,11258,Used,69570.795,Model X
194,Ford,2003,1.4,Petrol,Automatic,141865,Used,2530.962,Fiesta
198,Honda,2006,3,Petrol,Automatic,146317,Used,10223.807999999999,Accord
199,Honda,2021,2.4,Petrol,Manual,10215,Used,23920.35,CR-V
202,Toyota,2023,2,Hybrid,Automatic,17748,Used,27383.4225,Prius
203,Audi,2012,1.9,Diesel,Manual,80667,Used,9133.36,A3
205,BMW,2014,3,Petrol,Automatic,62414,Used,13758.685500000001,3 Series
206,BMW,2012,3,Petrol,Automatic,56793,Used,14145.442500000001,X3
207,BMW,2022,3,Petrol,Automatic,10173,Used,36931.135500000004,X3
208,BMW,2021,3,Petrol,Manual,28685,Used,53684.81,3 Series
209,BMW,2021,3,Petrol,Manual,17729,Used,57821.21,X5
210,Mercedes,2020,3,Petrol,Automatic,31789,Used,28692.636000000002,C-Class
215,BMW,2009,2.2,Petrol,Manual,113245,Used,12609.25,5 Series
216,Toyota,2023,1.8,Hybrid,Automatic,12105,Used,25487.143500000002,Corolla
218,Mercedes,2007,2.6,Petrol,Automatic,130148,Used,14298.69,C-Class
220,Toyota,2015,1.8,Hybrid,Automatic,66338,Used,11451.447,Prius
221,Toyota,2016,2.5,Diesel,Manual,52905,Used,22897.29,RAV4
222,Ford,2004,1.3,Petrol,Automatic,131765,Used,2227.9530000000004,Fiesta
224,Toyota,2017,2,Diesel,Automatic,48502,Used,22932.546000000002,RAV4
225,BMW,2023,3,Petrol,Automatic,17553,Used,44680.86,X3
226,Audi,2018,2,Diesel,Automatic,46146,Used,27685.0035,A4
227,Toyota,2003,1.8,Petrol,Manual,145268,Used,5612.2,Corolla
228,Ford,2006,1.6,Petrol,Manual,117313,Used,4865.65,Fiesta
230,Mercedes,2017,2,Diesel,Automatic,55442,Used,40857.7575,GLC
231,Ford,2018,3.5,Petrol,Automatic,42325,Used,20271.740999999998,Explorer
232,Toyota,2003,1.8,Petrol,Automatic,141833,Used,5644.842000000001,Corolla
233,Mercedes,2009,6.2,Petrol,Manual,138534,Used,14624.03,C-Class
235,Toyota,2022,2.5,Petrol,Manual,17380,Used,24952.05,Camry
236,Ford,2017,1,Petrol,Manual,55711,Used,13194.29,Focus
237,Honda,2004,1.5,Petrol,Automatic,103144,Used,3840.081,Fit
239,Tesla,2016,NA,Electric,Automatic,55765,Used,61381.66650000001,Model X
242,Toyota,2001,1.8,Petrol,Automatic,149195,Used,6176.2995,Corolla
243,BMW,2000,3.2,Petrol,Automatic,137313,Used,7138.4039999999995,3 Series
244,Toyota,2022,1.8,Hybrid,Automatic,8905,Used,24412.1955,Prius
245,Mercedes,2020,1.6,Petrol,Automatic,54341,Used,39025.329000000005,C-Class
246,Toyota,2016,2,Diesel,Manual,34708,Used,18529.82,RAV4
248,BMW,2015,1.5,Petrol,Automatic,100827,Used,23842.056,3 Series
249,BMW,2004,2.5,Petrol,Manual,126604,Used,8091.67,X3
250,Mercedes,2014,2.1,Diesel,Automatic,62986,Used,20154.004500000003,GLA
254,Toyota,2009,2,Petrol,Manual,87571,Used,5703.01,Camry
256,Toyota,2013,3.5,Petrol,Automatic,60998,Used,9082.206,Camry
257,Toyota,2012,2.5,Hybrid,Automatic,107651,Used,16430.106,Camry
258,Ford,2001,2,Petrol,Automatic,110273,Used,2642.5035000000003,Focus
259,Toyota,2002,2.4,Petrol,Manual,104599,Used,3758.72,Camry
261,Honda,2020,1.2,Petrol,Manual,47297,Used,16005.37,Fit
262,BMW,2017,2,Petrol,Manual,49356,Used,33046.89,X3
263,Mercedes,2002,6.3,Petrol,Automatic,138573,Used,9300.133500000002,E-Class
265,Audi,2021,NA,Electric,Automatic,19615,Used,29238.100500000004,A3
266,Toyota,2006,3.3,Petrol,Manual,145065,Used,11041.71,Camry
267,Toyota,2008,1.5,Hybrid,Automatic,80988,Used,6906.543000000001,Prius
268,Ford,2016,1,Petrol,Manual,47339,Used,11976.58,Focus
270,Honda,2006,2.4,Petrol,Automatic,109229,Used,7442.1795,Accord
271,Audi,2023,3,Diesel,Manual,26728,Used,44775.14,A4
272,BMW,2013,2.5,Petrol,Manual,50182,Used,15045.46,5 Series
273,Honda,2018,2,Hybrid,Automatic,30841,Used,15559.614000000001,CR-V
274,Mercedes,2003,5.5,Petrol,Automatic,102505,Used,5512.983,E-Class
276,BMW,2009,2.5,Diesel,Automatic,146782,Used,18404.4735,5 Series
278,Ford,2012,1.6,Diesel,Manual,102148,Used,9345.63,Fiesta
279,Ford,2013,3.5,Petrol,Automatic,115974,Used,19104.561,Explorer
280,Toyota,2003,1.8,Petrol,Manual,123803,Used,4136.44,Corolla
282,Mercedes,2004,5.4,Petrol,Automatic,150538,Used,10556.469000000001,E-Class
284,BMW,2003,4.9,Petrol,Manual,139766,Used,8479.51,5 Series
285,Honda,2002,2,Petrol,Manual,168597,Used,6796.1,CR-V
288,Ford,2000,1.5,Petrol,Automatic,121810,Used,1929.3120000000001,Fiesta
290,Toyota,2008,2.5,Petrol,Automatic,92478,Used,6466.635,Camry
291,Toyota,2006,2.4,Petrol,Manual,126418,Used,9310.2,Camry
292,BMW,2003,2,Diesel,Automatic,117346,Used,5565.976500000001,3 Series
293,Ford,2012,3.5,Petrol,Automatic,97629,Used,15252.153000000002,Explorer
294,Mercedes,2016,2,Petrol,Automatic,48341,Used,41749.21800000001,E-Class
295,Audi,2001,2.4,Petrol,Automatic,109467,Used,5408.3820000000005,A4
296,Ford,2004,2,Petrol,Manual,171588,Used,6263.7,Focus
298,BMW,2020,2,Diesel,Automatic,59111,Used,48927.133499999996,X5
300,BMW,2005,3,Petrol,Manual,150538,Used,9422.06,5 Series
301,Ford,2007,5.4,Petrol,Automatic,137982,Used,13149.108,Mustang
302,Honda,2017,2.4,Petrol,Manual,25917,Used,13183.34,Accord
303,Ford,2002,4,Petrol,Automatic,151560,Used,5856.8895,Explorer
304,Tesla,2021,NA,Electric,Automatic,17138,Used,38108.259000000005,Model 3
305,Ford,2011,2,Petrol,Automatic,70310,Used,9515.131500000001,Explorer
307,Tesla,2021,NA,Electric,Automatic,6586,Used,42616.654500000004,Model Y
308,BMW,2005,4.8,Petrol,Automatic,121810,Used,7540.102500000001,X5
309,Toyota,2001,1.5,Hybrid,Automatic,135963,Used,7138.068,Prius
310,Toyota,2022,1.8,Hybrid,Automatic,14303,Used,26225.9445,Prius
312,Honda,2001,1.3,Hybrid,Automatic,153413,Used,5954.1720000000005,Civic
313,Toyota,2005,2,Diesel,Automatic,104698,Used,3581.6655,RAV4
314,Ford,2016,2,Petrol,Automatic,35717,Used,10800.426000000001,Focus
315,BMW,2002,2.2,Petrol,Manual,135335,Used,8091.78,5 Series
316,Toyota,2001,1.8,Petrol,Manual,102900,Used,2699.34,Corolla
317,Toyota,2022,1.8,Hybrid,Automatic,26381,Used,30283.932,Corolla
318,Honda,2019,1.2,Petrol,Automatic,67599,Used,21495.327,Fit
320,Tesla,2021,NA,Electric,Automatic,19779,Used,78517.8345,Model X
321,Mercedes,2011,3,Diesel,Automatic,64392,Used,16377.879,C-Class
322,Honda,2003,1.5,Petrol,Automatic,141783,Used,5868.597000000001,Fit
323,Ford,2004,1.6,Petrol,Manual,142789,Used,2436.84,Fiesta
325,BMW,2014,3,Diesel,Automatic,60310,Used,14945.553000000002,X3
326,Honda,2022,1.5,Petrol,Automatic,17316,Used,26172.615,Accord
327,Toyota,2015,2.5,Diesel,Automatic,100507,Used,16520.983500000002,RAV4
328,BMW,2009,4.8,Petrol,Manual,115699,Used,12969.26,5 Series
329,BMW,2022,1.6,Petrol,Automatic,6468,Used,43849.974,5 Series
330,Toyota,2015,2.5,Hybrid,Automatic,82872,Used,14052.076500000001,RAV4
331,Honda,2011,1.3,Hybrid,Automatic,87778,Used,11977.801500000001,Civic
332,Toyota,2016,1.8,Petrol,Manual,48783,Used,19332.25,Corolla
334,BMW,2011,1.6,Petrol,Manual,101314,Used,27828.45,5 Series
335,Audi,2007,3,Petrol,Manual,139678,Used,16899.02,Q7
336,Audi,2019,3,Diesel,Manual,40914,Used,24692.34,A4
337,Ford,2002,3.8,Petrol,Manual,179026,Used,10909.56,Mustang
339,Toyota,2012,1.8,Hybrid,Automatic,101743,Used,15788.472,Prius
340,Toyota,2022,2.2,Diesel,Automatic,10632,Used,28038.5805,RAV4
341,Ford,2018,1,Petrol,Automatic,33821,Used,9091.425000000001,Fiesta
342,Ford,2007,2,Petrol,Automatic,113462,Used,4906.744500000001,Fiesta
343,Ford,2021,3.7,Petrol,Automatic,22241,Used,45005.268000000004,Mustang
344,BMW,2004,4.4,Petrol,Manual,137168,Used,8716.81,X5
345,Mercedes,2019,2,Hybrid,Automatic,62284,Used,48670.1985,E-Class
346,Toyota,2007,2,Petrol,Manual,140661,Used,10632.83,Camry
347,BMW,2023,2,Diesel,Manual,7231,Used,43122.86,X5
348,Ford,2011,2,Petrol,Manual,87843,Used,9712.35,Focus
349,Toyota,2000,1.6,Petrol,Automatic,123679,Used,4334.358,Corolla
350,BMW,2020,NA,Electric,Automatic,34264,Used,26221.996500000005,3 Series
351,Mercedes,2019,4,Petrol,Automatic,61949,Used,43714.9335,GLC
352,BMW,2005,4.4,Petrol,Automatic,175957,Used,13225.4745,X5
353,Mercedes,2021,3,Petrol,Automatic,8194,Used,40103.4375,C-Class
354,Ford,2017,2,Petrol,Automatic,51479,Used,13207.624500000002,Focus
356,Toyota,2006,2.4,Petrol,Manual,136097,Used,10208.97,Camry
357,Ford,2000,3.8,Petrol,Manual,168879,Used,9967.34,Mustang
358,Toyota,2020,2.5,Hybrid,Automatic,49047,Used,23069.802000000003,RAV4
359,Audi,2015,2.7,Diesel,Manual,64802,Used,12960.42,A4
360,Honda,2011,3.5,Petrol,Automatic,50248,Used,7903.224,Accord
361,Mercedes,2005,2.6,Petrol,Manual,174394,Used,11509.51,C-Class
362,Honda,2019,2.6,Petrol,Manual,34420,Used,13172.37,Civic
363,Honda,2001,3,Petrol,Manual,143365,Used,5376.78,Accord
364,Mercedes,2013,2.1,Hybrid,Automatic,64802,Used,19362.650999999998,E-Class
365,Ford,2003,1.3,Petrol,Manual,133298,Used,2165.67,Fiesta
367,Toyota,2022,1.8,Hybrid,Automatic,9355,Used,24563.322,Prius
368,BMW,2017,2,Petrol,Manual,33320,Used,25919.84,X3
369,Toyota,2012,2.4,Petrol,Manual,59717,Used,10295.63,RAV4
370,BMW,2001,4.6,Petrol,Manual,176034,Used,12603.4,X5
371,Toyota,2008,1.5,Hybrid,Automatic,99263,Used,8414.185500000001,Prius
372,Mercedes,2020,2,Petrol,Manual,51062,Used,30020.69,GLA
374,BMW,2008,3,Petrol,Automatic,138085,Used,14248.668,3 Series
376,Ford,2010,4,Petrol,Automatic,112737,Used,7466.823,Explorer
377,Toyota,2002,1.8,Petrol,Manual,161152,Used,8350.78,RAV4
378,Toyota,2019,2,Petrol,Manual,34589,Used,16209.5,Corolla
379,BMW,2022,NA,Electric,Automatic,28248,Used,55910.652,3 Series
380,Ford,2003,1.4,Petrol,Manual,172961,Used,3298.88,Fiesta
381,Ford,2017,1.4,Petrol,Automatic,23586,Used,7801.846500000001,Fiesta
382,Mercedes,2022,2,Hybrid,Automatic,24698,Used,57433.120500000005,C-Class
384,Mercedes,2002,5,Petrol,Manual,157490,Used,10748.98,E-Class
385,Mercedes,2021,1.3,Petrol,Manual,9355,Used,33135.69,GLA
387,Mercedes,2014,3,Diesel,Automatic,94084,Used,24172.018500000002,C-Class
388,Mercedes,2021,2,Petrol,Manual,9049,Used,32915.16,GLA
389,Audi,2004,1.9,Diesel,Manual,154918,Used,7402.66,A3
390,Ford,2019,2,Petrol,Automatic,67040,Used,28764.5505,Explorer
391,Mercedes,2009,2.1,Diesel,Automatic,128647,Used,14109.564,C-Class
392,Ford,2011,5,Petrol,Manual,116571,Used,23314.19,Mustang
393,Ford,2014,1.5,Diesel,Manual,109797,Used,9983.11,Fiesta
394,Honda,2016,2.2,Diesel,Manual,59552,Used,22283.4,CR-V
395,Audi,2009,3.2,Petrol,Manual,103315,Used,11855.57,Q5
397,Toyota,2017,2.5,Diesel,Manual,65867,Used,26008.19,RAV4
398,BMW,2012,2,Diesel,Manual,103966,Used,28491.59,5 Series
400,Toyota,2023,1.8,Petrol,Manual,27177,Used,29096.77,Corolla
401,Audi,2009,3,Diesel,Manual,130011,Used,12751.32,A4
402,BMW,2013,3,Diesel,Automatic,93117,Used,21818.307,3 Series
404,Ford,2002,4.6,Petrol,Automatic,145906,Used,5560.0545,Explorer
405,BMW,2015,2.5,Petrol,Automatic,55983,Used,17320.506,5 Series
406,Ford,2006,4.6,Petrol,Automatic,155935,Used,11678.625,Explorer
407,Toyota,2019,2,Petrol,Manual,39003,Used,17180.59,Corolla
409,BMW,2008,4.4,Petrol,Manual,86729,Used,7407.49,3 Series
410,BMW,2014,4.4,Petrol,Manual,94084,Used,27225.17,X5
411,Mercedes,2020,2,Petrol,Manual,47188,Used,28729.47,GLA
416,Ford,2017,1.4,Diesel,Manual,61093,Used,11931.17,Fiesta
417,BMW,2013,2,Hybrid,Automatic,109797,Used,26196.786,3 Series
418,Toyota,2019,1.8,Hybrid,Automatic,67534,Used,24630.2805,Prius
419,Audi,2017,1.4,Petrol,Automatic,33858,Used,23556.4245,A4
420,Audi,2009,3,Petrol,Automatic,75674,Used,10575.4845,Q7
422,Mercedes,2021,2,Petrol,Automatic,27934,Used,48837.894,GLA
425,Ford,2013,1.4,Diesel,Automatic,103652,Used,9944.5185,Fiesta
427,Toyota,2013,1.8,Hybrid,Automatic,50539,Used,9516.0555,Prius
428,BMW,2015,2.5,Petrol,Automatic,68994,Used,20736.019500000002,5 Series
429,Tesla,2021,NA,Electric,Automatic,17218,Used,38151.8445,Model 3
430,Audi,2013,3.2,Petrol,Automatic,89811,Used,22336.5135,Q5
431,Audi,2019,1.5,Petrol,Manual,92242,Used,24307.27,A3
433,Toyota,2002,1.5,Hybrid,Automatic,132522,Used,6957.3945,Prius
435,Honda,2005,3,Petrol,Automatic,149784,Used,6024.7635,Accord
436,Toyota,2012,2,Petrol,Automatic,102418,Used,15605.793,Camry
437,Honda,2020,1.5,Hybrid,Automatic,69156,Used,21855.036,Fit
439,Mercedes,2007,1.8,Petrol,Automatic,96470,Used,10055.178000000002,C-Class
440,Honda,2020,2.6,Petrol,Automatic,51089,Used,17681.4855,Civic
441,Ford,2001,5.4,Petrol,Manual,141675,Used,7441.29,Mustang
443,Honda,2014,1.8,Petrol,Automatic,101536,Used,13663.1985,Civic
445,Mercedes,2012,1.6,Petrol,Automatic,109305,Used,28167.573,C-Class
447,Honda,2012,2.2,Petrol,Manual,68246,Used,9476.62,Accord
449,Ford,2019,5.2,Petrol,Automatic,66301,Used,32766.699000000004,Mustang
450,Honda,2017,2.4,Petrol,Manual,44850,Used,18460.91,CR-V
452,Honda,2010,2,Petrol,Automatic,123881,Used,8345.19,Civic
453,Toyota,2001,2.2,Petrol,Automatic,138211,Used,5931.8595000000005,Camry
454,Toyota,2022,2,Petrol,Manual,21769,Used,27365.95,Corolla
455,Toyota,2018,2,Diesel,Manual,36659,Used,18998.2,RAV4
456,Ford,2018,2.3,Petrol,Automatic,57735,Used,25567.0695,Explorer
457,Mercedes,2004,1.8,Petrol,Automatic,105152,Used,5723.361,C-Class
460,Honda,2009,2,Petrol,Automatic,90135,Used,6010.1265,Accord
462,Honda,2010,2.2,Diesel,Manual,122151,Used,9215.08,CR-V
463,Ford,2017,3.5,Petrol,Automatic,35854,Used,18047.9775,Explorer
466,Audi,2008,3,Petrol,Manual,96388,Used,12281.35,Q7
467,BMW,2022,2,Diesel,Manual,11929,Used,36929.21,X3
468,Honda,2018,1.5,Petrol,Manual,63127,Used,20625.49,Accord
470,Toyota,2002,1.8,Petrol,Manual,128155,Used,4435.63,Corolla
471,BMW,2020,NA,Electric,Automatic,40363,Used,29352.897,3 Series
473,BMW,2013,4.8,Petrol,Automatic,108987,Used,33280.957500000004,X5
474,Toyota,2018,1.8,Petrol,Automatic,29852,Used,15925.822500000002,Corolla
475,Mercedes,2006,5.4,Petrol,Automatic,119659,Used,15902.775000000001,E-Class
476,Mercedes,2015,2,Petrol,Automatic,56082,Used,17254.4085,GLA
477,BMW,2015,3,Petrol,Manual,64247,Used,15086.93,X3
478,Ford,2000,1.2,Petrol,Automatic,122166,Used,1939.98,Fiesta
482,Honda,2007,1.3,Petrol,Automatic,142165,Used,9853.641,Fit
486,Mercedes,2019,1.5,Diesel,Manual,36494,Used,25164.62,GLA
488,Toyota,2003,1.5,Hybrid,Automatic,141589,Used,7433.401500000001,Prius
489,Honda,2005,1.7,Diesel,Automatic,172759,Used,6969.826500000001,Civic
